ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions
98101.0,47.61591,-122.33238,1.0,93660.0,6588.8,5469.6,64.4,873221.875,6.09
98101.0,47.61597,-122.33086,1.0,348270.0,69634.0,8478.6,79.0,24224888.0,168.88
98101.0,47.6177,-122.3306,1.0,182820.0,164192.0,37782.0,94.0,9765777.0,72.42
98101.0,47.61695,-122.32965,1.0,367623.0,114510.0,69060.2,65.0,26823218.0,197.19
98121.0,47.61431,-122.34244,1.0,424044.0,107300.0,35265.0,79.0,25307744.0,176.43
98121.0,47.6177,-122.3545,1.0,42389.0,38700.0,28258.0,70.4,8218155.5,91.13
98121.0,47.6182,-122.352,1.0,274002.0,122624.0,59215.97968800001,64.0,20361158.0,141.95
98121.0,47.61598,-122.34369,1.0,191814.0,72178.0,5322.0,74.0,14913424.0,103.97
98121.0,47.61734,-122.34434,1.0,146157.0,48199.0,6978.6,94.0,5357833.0,46.03
98121.0,47.6176,-122.35686,1.0,158681.0,70190.0,21782.0,3.0,29949248.0,208.79
98117.0,47.7019,-122.36374,1.0,61666.0,23419.0,6177.8,54.0,14293972.0,384.27
98104.0,47.60227,-122.33202,1.0,50328.0,8329.0,4253.0,77.0,2933288.75,24.91
98104.0,47.60198,-122.33174,1.0,245028.0,8429.0,7518.0,72.0,23262244.0,741.3
98108.0,47.54066,-122.33023,1.0,119200.0,9600.0,5491.8,97.0,1809101.5,78.92
98101.0,47.60932,-122.33388,1.0,166919.0,39355.0,19787.0,76.0,13656587.0,355.05
98101.0,47.60842,-122.33305,1.0,256299.0,66430.0,7438.0,77.0,18967014.0,530.66
98101.0,47.60869,-122.33588,1.0,286538.0,197750.0,11888.0,79.0,27076922.0,1084.79
98101.0,47.60896,-122.33481,1.0,718473.0,40000.0,19671.0,69.0,48479988.0,337.97
98101.0,47.60804,-122.33391,1.0,542305.0,0.0,112314.8,45.0,56485204.0,2573.75
98144.0,47.57936,-122.29744,1.0,191940.0,100000.0,9982.2,80.0,11688601.0,162.45
98108.0,47.52871,-122.29443,0.0,33450.0,29620.0,27715.0,42.0,4383100.5,116.03
98133.0,47.72912,-122.34677,1.0,51116.0,8262.8,5714.6,96.0,930611.875,48.65
98109.0,47.62323,-122.33028,1.0,74831.0,71643.0,8256.2,64.0,3085814.0,21.51
98109.0,47.62333,-122.3296,1.0,103494.0,70067.0,7625.2,60.0,5803409.0,40.46
98107.0,47.65825,-122.3683,1.0,49395.0,5853.0,6826.2,2.0,3989399.0,70.47
98107.0,47.66587,-122.38476,1.0,29001.0,28299.0,5260.6,55.0,4560492.0,156.67
98121.0,47.61429,-122.35263,1.0,305233.0,26900.0,7666.0,90.0,18102026.0,224.36
98101.0,47.60723,-122.33611,1.0,994116.0,264481.0,133598.0,92.0,53079164.0,588.9
98101.0,47.60968,-122.33379,1.0,310000.0,72375.4,16764.0,58.0,33729336.0,1510.85
98101.0,47.61054,-122.33466,1.0,1002403.0,377046.0,53116.0,89.0,56606136.0,530.18
98101.0,47.61003,-122.33452,1.0,144570.0,20949.6,3102.2,91.0,6423556.5,193.72
98101.0,47.61159,-122.33601,1.0,35694.0,29723.0,4017.4,25.0,5252131.0,36.61
98101.0,47.61166,-122.33528,1.0,62512.0,53971.0,5000.0,71.0,7711757.5,148.11
98101.0,47.61125,-122.33494,1.0,411301.0,80005.0,14528.0,93.0,18848780.0,131.4
98101.0,47.61005,-122.3361,0.0,92006.0,12610.0,9835.0,72.0,6029020.0,65.2
98101.0,47.61033,-122.3357,1.0,83485.0,13200.0,5000.0,45.0,7335905.5,51.14
98101.0,47.60996,-122.33572,0.0,332067.0,198802.8,35973.0,6.0,37785552.0,1468.5
98101.0,47.60991,-122.33687,1.0,87391.0,32264.0,10858.0,49.0,11651200.0,318.08
98101.0,47.60953,-122.33647,1.0,41958.0,4800.0,6977.0,39.4,2586116.0,18.03
98101.0,47.60902,-122.33674,1.0,124508.0,20949.6,4942.4,89.0,6366084.5,202.99
98101.0,47.60923,-122.33625,1.0,125473.0,24405.6,5844.0,84.0,5446624.0,238.09
98101.0,47.61022,-122.33745,1.0,643083.0,126891.0,13422.0,72.0,52226204.0,793.05
98101.0,47.60995,-122.33904,1.0,56747.0,15267.8,5899.0,72.0,3518459.5,74.83
98101.0,47.60987,-122.33824,1.0,87925.0,27177.0,6644.0,80.0,6962073.0,48.54
98101.0,47.60821,-122.33899,1.0,39960.0,26640.0,13320.0,35.6,3009463.75,20.98
98101.0,47.60881,-122.34119,1.0,44078.0,19182.0,14380.0,55.8,14940504.0,316.2
