ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
98117.0,47.67767,-122.39631,1.0,56000.0,6829.2,4795.2,59.4,33.09999847,1851260.5,2088978.125,0.0,1006396.0,59.34,1.06
98118.0,47.54174,-122.27691,1.0,67371.0,15303.8,6568.0,92.0,31.60000038,2128459.0,2260359.75,0.0,683120.0,46.36,0.69
98126.0,47.54508,-122.37737,1.0,52088.0,7667.2,3377.6,62.6,26.39999962,1377519.5,1576122.875,0.0,853755.0,48.99,0.94
98103.0,47.65708,-122.33803,1.0,127776.0,36842.4,7049.2,75.0,37.20000076,4748137.0,4998584.5,0.0,1018207.0,80.08,0.63
98109.0,47.62972,-122.32906,1.0,123920.0,30000.0,0.0,79.0,75.59999847,9373179.0,9676783.0,0.0,5293961.0,309.6,2.5
98109.0,47.62759,-122.33661,1.0,43000.0,16354.8,8315.4,60.2,175.6000061,7548807.0,7942537.5,0.0,3750882.0,225.69,4.51
98109.0,47.62591,-122.34084,1.0,42345.0,5000.0,4730.0,71.4,8.0,430473.6875,430473.6875,0.0,0.0,3.0,0.06
98109.0,47.62782,-122.34045,1.0,141591.0,12475.4,5220.460009799999,76.0,78.90000153,11171988.0,11754087.0,0.0,5641200.0,338.16,1.63
98117.0,47.68359,-122.37308,1.0,67235.0,15316.0,5485.6,89.0,34.0,2284133.75,2443194.0,0.0,719406.0,49.12,0.73
98103.0,47.70044,-122.34136,1.0,57968.0,32881.0,11850.0,47.4,100.5,9472358.0,10005492.0,0.0,2378373.0,175.77,1.93
98136.0,47.54025,-122.3885,1.0,59014.0,14487.6,4542.2,97.0,23.79999924,1407277.25,1519074.75,0.0,248820.0,21.29,0.37
98133.0,47.70916,-122.33216,1.0,64893.0,7224.0,3405.4,70.0,95.5,6197825.0,6211749.5,0.0,3577277.0,208.26,3.21
